Country,ISO3,2023 Rank,2023 Score,2022 Rank,2022 Score,2021 Rank,2021 Score,2020 Rank,2020 Score,2019 Rank,2019 Score,2018 Rank,2018 Score,2017 Rank,2017 Score,2016 Rank,2016 Score,Procentualni_zmena_2023_2016,Rozdil_poradi_2023_2016,region
Iceland,ISL,1,0.8731,1.0,0.864,1.0,0.853,1.0,0.8496,1.0,0.8276,4.0,0.7999,4.0,0.7836,4.0,0.7813,0.0917999999999999,-3.0,Evropa
Finland,FIN,2,0.8421,2.0,0.8451,3.0,0.8383,3.0,0.826,2.0,0.8252,2.0,0.8195,3.0,0.8044,3.0,0.7958,0.0463,-1.0,Evropa
Norway,NOR,3,0.8417,3.0,0.8403,2.0,0.8404,2.0,0.8404,3.0,0.8227,1.0,0.8239,2.0,0.8059,2.0,0.7994,0.0423,1.0,Evropa
Sweden,SWE,4,0.8129,4.0,0.8159,4.0,0.8044,4.0,0.8024,4.0,0.8139,3.0,0.8139,1.0,0.8146,1.0,0.8133,-0.0004,3.0,Evropa
Philippines,PHL,5,0.7832,8.0,0.7757,8.0,0.7685,9.0,0.7654,9.0,0.7579,6.0,0.7568,6.0,0.7629,6.0,0.7516,0.0315999999999999,-1.0,Asie
Ireland,IRL,6,0.7823,5.0,0.7839,5.0,0.783,6.0,0.7773,8.0,0.7597,8.0,0.7518,9.0,0.7457,10.0,0.7335,0.0487999999999999,-4.0,Evropa
New Zealand,NZL,7,0.7799,6.0,0.7805,6.0,0.781,5.0,0.7808,5.0,0.788,5.0,0.7859,5.0,0.7649,7.0,0.7509,0.029,0.0,Oceánie
Denmark,DNK,8,0.7779,7.0,0.7777,7.0,0.7778,7.0,0.7719,7.0,0.7628,7.0,0.7538,8.0,0.7519,8.0,0.7462,0.0317,0.0,Evropa
Switzerland,CHE,9,0.7736,10.0,0.7672,10.0,0.7627,10.0,0.7562,13.0,0.7426,14.0,0.736,40.0,0.6924,26.0,0.6997,0.0738999999999999,-17.0,Evropa
Nicaragua,NIC,10,0.7715,9.0,0.7697,27.0,0.7245,30.0,0.7176,49.0,0.7002,71.0,0.6747,90.0,0.6458,62.0,0.6566,0.1149,-52.0,Amerika
Belgium,BEL,11,0.7684,12.0,0.7652,13.0,0.7531,14.0,0.7509,33.0,0.7165,28.0,0.7163,19.0,0.7198,20.0,0.7078,0.0605999999999999,-9.0,Evropa
Latvia,LVA,12,0.761,15.0,0.7572,19.0,0.7399,18.0,0.7429,14.0,0.7416,10.0,0.7397,13.0,0.7333,19.0,0.7091,0.0519,-7.0,Evropa
Netherlands,NLD,13,0.7608,11.0,0.7659,15.0,0.747,17.0,0.7444,11.0,0.749,9.0,0.7399,12.0,0.7383,12.0,0.725,0.0358,1.0,Evropa
Germany,DEU,14,0.7583,13.0,0.7629,11.0,0.759,13.0,0.753,12.0,0.7449,11.0,0.7394,7.0,0.7618,5.0,0.7524,0.0059,9.0,Evropa
Cuba,CUB,15,0.754,19.0,0.7417,20.0,0.7394,24.0,0.7253,29.0,0.7176,25.0,0.7195,22.0,0.7169,,0.7169,0.0371,,Amerika
Lesotho,LSO,16,0.753,14.0,0.7608,9.0,0.7666,8.0,0.7678,10.0,0.7495,16.0,0.732,26.0,0.7078,43.0,0.6807,0.0723,-27.0,Afrika
South Africa,ZAF,17,0.751,16.0,0.7496,14.0,0.7478,12.0,0.7535,6.0,0.7709,22.0,0.7232,20.0,0.7194,18.0,0.7125,0.0384999999999999,-1.0,Afrika
United Kingdom,GBR,18,0.744,18.0,0.7433,16.0,0.7462,15.0,0.746,15.0,0.7402,13.0,0.7366,11.0,0.7441,9.0,0.7365,0.0074999999999999,9.0,Evropa
Austria,AUT,19,0.7437,20.0,0.7391,34.0,0.7165,37.0,0.7091,42.0,0.7031,29.0,0.7153,27.0,0.706,27.0,0.6986,0.0451,-8.0,Evropa
Canada,CAN,20,0.7425,21.0,0.7381,18.0,0.7407,20.0,0.7372,25.0,0.7196,31.0,0.7136,18.0,0.7198,14.0,0.7165,0.026,6.0,Amerika
Luxembourg,LUX,21,0.741,17.0,0.7439,30.0,0.7216,26.0,0.7231,63.0,0.6889,66.0,0.6802,58.0,0.6786,56.0,0.6671,0.0738999999999999,-35.0,Evropa
Burundi,BDI,22,0.7397,24.0,0.7338,24.0,0.727,,,,,,,,,,,,,Afrika
United States,USA,23,0.7392,22.0,0.7373,17.0,0.7412,19.0,0.7411,31.0,0.7173,27.0,0.7179,31.0,0.7002,23.0,0.7042,0.0349999999999999,0.0,Amerika
Australia,AUS,24,0.739,25.0,0.7294,23.0,0.7291,23.0,0.7271,20.0,0.7282,21.0,0.7241,17.0,0.7204,15.0,0.7163,0.0226999999999999,9.0,Oceánie
Ecuador,ECU,25,0.7389,33.0,0.7206,45.0,0.7035,40.0,0.7072,23.0,0.722,35.0,0.7091,44.0,0.6881,82.0,0.6433,0.0956,-57.0,Amerika
Mozambique,MOZ,26,0.7349,23.0,0.735,26.0,0.7251,22.0,0.7329,26.0,0.7195,18.0,0.7266,43.0,0.6883,,0.6883,0.0465999999999999,,Afrika
Bolivia,BOL,27,0.734,30.0,0.7222,62.0,0.6862,76.0,0.6751,82.0,0.6693,80.0,0.6667,80.0,0.6574,87.0,0.6335,0.1005,-60.0,Amerika
Lithuania,LTU,28,0.7308,34.0,0.7191,37.0,0.7131,35.0,0.7132,30.0,0.7175,23.0,0.7222,14.0,0.7234,21.0,0.7077,0.0231,7.0,Evropa
Barbados,BRB,29,0.7301,27.0,0.7232,33.0,0.717,31.0,0.7176,21.0,0.7236,26.0,0.7188,,,,,,,Amerika
Spain,ESP,30,0.7266,26.0,0.7266,12.0,0.758,11.0,0.7554,17.0,0.7345,17.0,0.7281,10.0,0.7444,11.0,0.7319,-0.0052999999999999,19.0,Evropa
Costa Rica,CRI,31,0.7241,29.0,0.7225,25.0,0.7266,28.0,0.7194,27.0,0.718,32.0,0.7111,28.0,0.7014,30.0,0.6936,0.0304999999999999,1.0,Amerika
Kazakhstan,KAZ,32,0.7218,31.0,0.7213,49.0,0.701,41.0,0.7055,47.0,0.7013,45.0,0.6976,32.0,0.6983,32.0,0.6928,0.029,0.0,Asie
Mongolia,MNG,33,0.7204,44.0,0.7111,36.0,0.714,27.0,0.7194,22.0,0.7221,40.0,0.7049,62.0,0.6731,42.0,0.6821,0.0383,-9.0,Asie
Argentina,ARG,34,0.7195,32.0,0.7212,28.0,0.7236,29.0,0.7187,24.0,0.7211,24.0,0.7209,33.0,0.6982,41.0,0.6829,0.0366,-7.0,Amerika
Colombia,COL,35,0.7171,63.0,0.6901,80.0,0.6714,55.0,0.6927,56.0,0.6939,50.0,0.6944,24.0,0.709,22.0,0.7049,0.0121999999999999,13.0,Amerika
Trinidad and Tobago,TTO,36,0.7166,43.0,0.7116,21.0,0.7372,21.0,0.7353,19.0,0.7298,19.0,0.7245,46.0,0.6859,45.0,0.6797,0.0369,-9.0,Amerika
