year,rank,gpgi,country,iso3,region
2016,4.0,0.7813,Iceland,ISL,Evropa
2017,4.0,0.7836,Iceland,ISL,Evropa
2018,4.0,0.7999,Iceland,ISL,Evropa
2019,1.0,0.8276,Iceland,ISL,Evropa
2020,1.0,0.8496,Iceland,ISL,Evropa
2021,1.0,0.853,Iceland,ISL,Evropa
2022,1.0,0.864,Iceland,ISL,Evropa
2023,1.0,0.8731,Iceland,ISL,Evropa
2016,3.0,0.7958,Finland,FIN,Evropa
2017,3.0,0.8044,Finland,FIN,Evropa
2018,2.0,0.8195,Finland,FIN,Evropa
2019,2.0,0.8252,Finland,FIN,Evropa
2020,3.0,0.826,Finland,FIN,Evropa
2021,3.0,0.8383,Finland,FIN,Evropa
2022,2.0,0.8451,Finland,FIN,Evropa
2023,2.0,0.8421,Finland,FIN,Evropa
2016,2.0,0.7994,Norway,NOR,Evropa
2017,2.0,0.8059,Norway,NOR,Evropa
2018,1.0,0.8239,Norway,NOR,Evropa
2019,3.0,0.8227,Norway,NOR,Evropa
2020,2.0,0.8404,Norway,NOR,Evropa
2021,2.0,0.8404,Norway,NOR,Evropa
2022,3.0,0.8403,Norway,NOR,Evropa
2023,3.0,0.8417,Norway,NOR,Evropa
2016,1.0,0.8133,Sweden,SWE,Evropa
2017,1.0,0.8146,Sweden,SWE,Evropa
2018,3.0,0.8139,Sweden,SWE,Evropa
2019,4.0,0.8139,Sweden,SWE,Evropa
2020,4.0,0.8024,Sweden,SWE,Evropa
2021,4.0,0.8044,Sweden,SWE,Evropa
2022,4.0,0.8159,Sweden,SWE,Evropa
2023,4.0,0.8129,Sweden,SWE,Evropa
2016,6.0,0.7516,Philippines,PHL,Asie
2017,6.0,0.7629,Philippines,PHL,Asie
2018,6.0,0.7568,Philippines,PHL,Asie
2019,9.0,0.7579,Philippines,PHL,Asie
2020,9.0,0.7654,Philippines,PHL,Asie
2021,8.0,0.7685,Philippines,PHL,Asie
2022,8.0,0.7757,Philippines,PHL,Asie
2023,5.0,0.7832,Philippines,PHL,Asie
2016,10.0,0.7335,Ireland,IRL,Evropa
2017,9.0,0.7457,Ireland,IRL,Evropa
2018,8.0,0.7518,Ireland,IRL,Evropa
2019,8.0,0.7597,Ireland,IRL,Evropa
2020,6.0,0.7773,Ireland,IRL,Evropa
2021,5.0,0.783,Ireland,IRL,Evropa
2022,5.0,0.7839,Ireland,IRL,Evropa
2023,6.0,0.7823,Ireland,IRL,Evropa
2016,7.0,0.7509,New Zealand,NZL,Oceánie
2017,5.0,0.7649,New Zealand,NZL,Oceánie
2018,5.0,0.7859,New Zealand,NZL,Oceánie
2019,5.0,0.788,New Zealand,NZL,Oceánie
2020,5.0,0.7808,New Zealand,NZL,Oceánie
2021,6.0,0.781,New Zealand,NZL,Oceánie
2022,6.0,0.7805,New Zealand,NZL,Oceánie
2023,7.0,0.7799,New Zealand,NZL,Oceánie
2016,8.0,0.7462,Denmark,DNK,Evropa
2017,8.0,0.7519,Denmark,DNK,Evropa
2018,7.0,0.7538,Denmark,DNK,Evropa
2019,7.0,0.7628,Denmark,DNK,Evropa
2020,7.0,0.7719,Denmark,DNK,Evropa
2021,7.0,0.7778,Denmark,DNK,Evropa
2022,7.0,0.7777,Denmark,DNK,Evropa
2023,8.0,0.7779,Denmark,DNK,Evropa
2016,26.0,0.6997,Switzerland,CHE,Evropa
2017,40.0,0.6924,Switzerland,CHE,Evropa
2018,14.0,0.736,Switzerland,CHE,Evropa
2019,13.0,0.7426,Switzerland,CHE,Evropa
2020,10.0,0.7562,Switzerland,CHE,Evropa
2021,10.0,0.7627,Switzerland,CHE,Evropa
2022,10.0,0.7672,Switzerland,CHE,Evropa
2023,9.0,0.7736,Switzerland,CHE,Evropa
2016,62.0,0.6566,Nicaragua,NIC,Amerika
2017,90.0,0.6458,Nicaragua,NIC,Amerika
2018,71.0,0.6747,Nicaragua,NIC,Amerika
2019,49.0,0.7002,Nicaragua,NIC,Amerika
