LOCATION,Country,TIME,Time,School_Life_Expectancy,sex
BDI,Burundi,2017,2017,10.48098,Female
BDI,Burundi,2018,2018,10.14888,Female
NZL,New Zealand,2017,2017,19.38512,Female
NZL,New Zealand,2018,2018,19.33179,Female
NZL,New Zealand,2019,2019,20.03784,Female
NZL,New Zealand,2020,2020,19.70184,Female
NZL,New Zealand,2021,2021,20.16286,Female
40525,Arab States,2017,2017,11.72997,Female
40525,Arab States,2018,2018,11.83803,Female
40525,Arab States,2019,2019,11.96801,Female
40525,Arab States,2020,2020,12.04418,Female
40525,Arab States,2021,2021,12.10455,Female
GTM,Guatemala,2019,2019,10.93928,Female
HKG,"China, Hong Kong Special Administrative Region",2017,2017,16.46075,Female
HKG,"China, Hong Kong Special Administrative Region",2018,2018,16.7917,Female
HKG,"China, Hong Kong Special Administrative Region",2019,2019,16.90179,Female
HKG,"China, Hong Kong Special Administrative Region",2020,2020,17.01898,Female
HKG,"China, Hong Kong Special Administrative Region",2021,2021,17.35923,Female
HKG,"China, Hong Kong Special Administrative Region",2022,2022,17.18582,Female
MHL,Marshall Islands,2019,2019,16.09599,Female
MHL,Marshall Islands,2022,2022,17.01634,Female
40612,Central Asia,2017,2017,12.44171,Female
40612,Central Asia,2018,2018,12.54775,Female
40612,Central Asia,2019,2019,12.72597,Female
40612,Central Asia,2020,2020,12.69859,Female
40612,Central Asia,2021,2021,12.79236,Female
40612,Central Asia,2022,2022,12.82523,Female
ISR,Israel,2017,2017,15.43283,Female
ISR,Israel,2018,2018,15.36837,Female
ISR,Israel,2019,2019,15.35238,Female
ISR,Israel,2020,2020,15.37783,Female
ISR,Israel,2021,2021,15.58276,Female
RUS,Russian Federation,2017,2017,14.63001,Female
RUS,Russian Federation,2018,2018,15.30922,Female
RUS,Russian Federation,2019,2019,15.32356,Female
RUS,Russian Federation,2020,2020,13.42469,Female
RUS,Russian Federation,2021,2021,13.3858,Female
RUS,Russian Federation,2022,2022,13.44124,Female
FIN,Finland,2017,2017,18.58182,Female
FIN,Finland,2018,2018,18.6307,Female
FIN,Finland,2019,2019,18.25285,Female
FIN,Finland,2020,2020,18.17844,Female
FIN,Finland,2021,2021,18.25875,Female
FIN,Finland,2022,2022,18.40107,Female
IND,India,2017,2017,12.17948,Female
IND,India,2018,2018,11.78324,Female
IND,India,2019,2019,11.68172,Female
IND,India,2020,2020,12.17147,Female
IND,India,2021,2021,12.47907,Female
IND,India,2022,2022,12.98404,Female
IND,India,2023,2023,12.94106,Female
CUB,Cuba,2017,2017,13.63932,Female
CUB,Cuba,2018,2018,13.79585,Female
CUB,Cuba,2019,2019,13.86809,Female
CUB,Cuba,2020,2020,13.79964,Female
CUB,Cuba,2021,2021,13.71633,Female
40650,Oceania,2017,2017,16.7843,Female
40650,Oceania,2018,2018,16.20458,Female
40650,Oceania,2019,2019,16.71131,Female
40650,Oceania,2020,2020,16.51216,Female
40650,Oceania,2021,2021,16.66818,Female
40650,Oceania,2022,2022,16.58956,Female
ALB,Albania,2017,2017,15.11301,Female
ALB,Albania,2018,2018,14.84559,Female
ALB,Albania,2019,2019,14.90936,Female
ALB,Albania,2020,2020,14.49291,Female
ALB,Albania,2021,2021,14.28942,Female
ALB,Albania,2022,2022,14.2922,Female
NPL,Nepal,2017,2017,12.97947,Female
NPL,Nepal,2019,2019,13.32362,Female
NPL,Nepal,2020,2020,12.8238,Female
UKR,Ukraine,2017,2017,13.45575,Female
UKR,Ukraine,2018,2018,13.43034,Female
UKR,Ukraine,2019,2019,13.48342,Female
UKR,Ukraine,2020,2020,13.40917,Female
UKR,Ukraine,2021,2021,13.12754,Female
OMN,Oman,2017,2017,13.43154,Female
OMN,Oman,2018,2018,13.50936,Female
OMN,Oman,2019,2019,13.44144,Female
OMN,Oman,2020,2020,12.73187,Female
OMN,Oman,2021,2021,12.58941,Female
40550,Small Island Developing States,2017,2017,11.79623,Female
40550,Small Island Developing States,2018,2018,11.85808,Female
40550,Small Island Developing States,2019,2019,11.95457,Female
40550,Small Island Developing States,2020,2020,11.90644,Female
40550,Small Island Developing States,2021,2021,11.86538,Female
BFA,Burkina Faso,2017,2017,8.37919,Female
BFA,Burkina Faso,2018,2018,8.7515,Female
BFA,Burkina Faso,2019,2019,8.78297,Female
BFA,Burkina Faso,2020,2020,8.7117,Female
BFA,Burkina Faso,2021,2021,8.7512,Female
BFA,Burkina Faso,2022,2022,8.18846,Female
AUS,Australia,2017,2017,21.50828,Female
AUS,Australia,2018,2018,19.86492,Female
AUS,Australia,2019,2019,20.74703,Female
AUS,Australia,2020,2020,20.15477,Female
AUS,Australia,2021,2021,20.19376,Female
AUS,Australia,2022,2022,19.84202,Female
FRA,France,2017,2017,16.08797,Female
FRA,France,2018,2018,16.20206,Female
FRA,France,2019,2019,16.23834,Female
FRA,France,2020,2020,16.33693,Female
FRA,France,2021,2021,16.40241,Female
FRA,France,2022,2022,16.54313,Female
PHL,Philippines,2017,2017,13.21657,Female
PHL,Philippines,2018,2018,13.27168,Female
PHL,Philippines,2019,2019,13.45679,Female
PHL,Philippines,2020,2020,13.21806,Female
HRV,Croatia,2017,2017,16.13627,Female
HRV,Croatia,2018,2018,16.21974,Female
HRV,Croatia,2019,2019,16.30281,Female
HRV,Croatia,2020,2020,16.36845,Female
HRV,Croatia,2021,2021,16.48469,Female
MLI,Mali,2017,2017,7.74829,Female
SYC,Seychelles,2017,2017,14.2504,Female
SYC,Seychelles,2018,2018,14.61841,Female
SYC,Seychelles,2019,2019,14.84438,Female
SYC,Seychelles,2020,2020,14.47248,Female
SYC,Seychelles,2021,2021,15.57924,Female
SYC,Seychelles,2022,2022,15.4465,Female
TKM,Turkmenistan,2019,2019,12.05283,Female
TKM,Turkmenistan,2020,2020,12.39632,Female
TKM,Turkmenistan,2021,2021,12.89954,Female
TKM,Turkmenistan,2022,2022,13.24945,Female
ITA,Italy,2017,2017,16.45614,Female
ITA,Italy,2018,2018,16.61316,Female
ITA,Italy,2019,2019,16.76292,Female
ITA,Italy,2020,2020,16.99852,Female
ITA,Italy,2021,2021,17.14427,Female
BWA,Botswana,2021,2021,11.08065,Female
40334,Least Developed Countries,2017,2017,9.77998,Female
40334,Least Developed Countries,2018,2018,9.94278,Female
40334,Least Developed Countries,2019,2019,10.01267,Female
ARM,Armenia,2018,2018,14.06499,Female
ARM,Armenia,2019,2019,14.26832,Female
ARM,Armenia,2020,2020,14.4081,Female
ARM,Armenia,2021,2021,14.74233,Female
ARM,Armenia,2022,2022,14.81291,Female
URY,Uruguay,2021,2021,18.79311,Female
40620,Europe,2017,2017,15.75054,Female
40620,Europe,2018,2018,15.87223,Female
40620,Europe,2019,2019,15.87684,Female
40620,Europe,2020,2020,15.88114,Female
40620,Europe,2021,2021,15.95818,Female
40620,Europe,2022,2022,15.97113,Female
CHE,Switzerland,2017,2017,16.1849,Female
CHE,Switzerland,2018,2018,16.27742,Female
CHE,Switzerland,2019,2019,16.35109,Female
CHE,Switzerland,2020,2020,16.409,Female
CHE,Switzerland,2021,2021,16.4982,Female
CHE,Switzerland,2022,2022,16.54634,Female
NOR,Norway,2017,2017,17.37583,Female
NOR,Norway,2018,2018,17.45397,Female
NOR,Norway,2019,2019,17.54578,Female
NOR,Norway,2020,2020,17.58493,Female
NOR,Norway,2021,2021,17.80384,Female
BLR,Belarus,2017,2017,14.78567,Female
BLR,Belarus,2018,2018,14.55329,Female
BLR,Belarus,2019,2019,14.38135,Female
BLR,Belarus,2020,2020,14.25777,Female
BLR,Belarus,2021,2021,14.15603,Female
BLR,Belarus,2022,2022,14.04238,Female
ROU,Romania,2017,2017,14.62853,Female
ROU,Romania,2018,2018,14.78753,Female
ROU,Romania,2019,2019,14.8905,Female
ROU,Romania,2020,2020,14.12422,Female
ROU,Romania,2021,2021,15.04965,Female
40030,Middle income countries,2017,2017,12.31231,Female
40030,Middle income countries,2018,2018,12.21778,Female
40030,Middle income countries,2019,2019,12.33165,Female
40030,Middle income countries,2020,2020,12.50958,Female
40030,Middle income countries,2021,2021,12.63608,Female
40030,Middle income countries,2022,2022,12.83192,Female
LIE,Liechtenstein,2017,2017,13.85361,Female
LIE,Liechtenstein,2018,2018,13.67592,Female
LIE,Liechtenstein,2019,2019,14.25338,Female
LIE,Liechtenstein,2020,2020,14.18611,Female
LIE,Liechtenstein,2021,2021,14.36024,Female
UZB,Uzbekistan,2017,2017,12.11688,Female
UZB,Uzbekistan,2018,2018,12.25071,Female
UZB,Uzbekistan,2019,2019,12.41573,Female
UZB,Uzbekistan,2020,2020,12.09179,Female
UZB,Uzbekistan,2021,2021,11.96601,Female
40617,Northern Africa and Western Asia,2017,2017,12.71405,Female
40617,Northern Africa and Western Asia,2018,2018,12.83271,Female
40617,Northern Africa and Western Asia,2019,2019,12.9528,Female
40617,Northern Africa and Western Asia,2020,2020,13.03843,Female
40617,Northern Africa and Western Asia,2021,2021,13.12016,Female
IRN,Iran (Islamic Republic of),2017,2017,14.21577,Female
IRN,Iran (Islamic Republic of),2020,2020,14.16625,Female
QAT,Qatar,2017,2017,12.5171,Female
QAT,Qatar,2018,2018,12.75271,Female
QAT,Qatar,2019,2019,12.62609,Female
QAT,Qatar,2020,2020,12.64909,Female
40505,Central Asia,2017,2017,12.86283,Female
40505,Central Asia,2018,2018,12.9279,Female
40505,Central Asia,2019,2019,13.05528,Female
40505,Central Asia,2020,2020,12.95712,Female
40505,Central Asia,2021,2021,12.99099,Female
40505,Central Asia,2022,2022,13.03535,Female
MDV,Maldives,2019,2019,13.27128,Female
LKA,Sri Lanka,2017,2017,12.95878,Female
LKA,Sri Lanka,2018,2018,13.14461,Female
CPV,Cabo Verde,2017,2017,11.81033,Female
CPV,Cabo Verde,2018,2018,11.57099,Female
LUX,Luxembourg,2017,2017,14.22867,Female
LUX,Luxembourg,2018,2018,14.24567,Female
LUX,Luxembourg,2019,2019,14.25139,Female
LUX,Luxembourg,2020,2020,14.28886,Female
LUX,Luxembourg,2021,2021,14.31557,Female
COL,Colombia,2017,2017,14.99888,Female
COL,Colombia,2018,2018,14.86277,Female
COL,Colombia,2019,2019,14.72452,Female
COL,Colombia,2020,2020,14.47732,Female
COL,Colombia,2021,2021,14.67448,Female
COL,Colombia,2022,2022,14.54108,Female
BRN,Brunei Darussalam,2017,2017,13.64943,Female
BRN,Brunei Darussalam,2018,2018,13.54666,Female
BRN,Brunei Darussalam,2019,2019,13.31603,Female
BRN,Brunei Darussalam,2020,2020,13.25225,Female
PRT,Portugal,2017,2017,16.43869,Female
PRT,Portugal,2018,2018,16.63084,Female
PRT,Portugal,2019,2019,16.78882,Female
PRT,Portugal,2020,2020,16.87392,Female
PRT,Portugal,2021,2021,17.0702,Female
40535,South and West Asia,2017,2017,11.36289,Female
40535,South and West Asia,2018,2018,10.78044,Female
40535,South and West Asia,2019,2019,10.87352,Female
40535,South and West Asia,2020,2020,11.06459,Female
40535,South and West Asia,2021,2021,11.23637,Female
40535,South and West Asia,2022,2022,11.647,Female
40611,Eastern Asia,2017,2017,14.27293,Female
40611,Eastern Asia,2018,2018,14.43825,Female
40611,Eastern Asia,2019,2019,14.73365,Female
40611,Eastern Asia,2020,2020,15.03482,Female
40611,Eastern Asia,2021,2021,15.325,Female
40611,Eastern Asia,2022,2022,15.54384,Female
40043,Upper middle income countries,2017,2017,13.93447,Female
40043,Upper middle income countries,2018,2018,14.03914,Female
40043,Upper middle income countries,2019,2019,14.1499,Female
40043,Upper middle income countries,2020,2020,14.31388,Female
40043,Upper middle income countries,2021,2021,14.47777,Female
40043,Upper middle income countries,2022,2022,14.62304,Female
40530,Central and Eastern Europe,2017,2017,15.97961,Female
40530,Central and Eastern Europe,2018,2018,16.28614,Female
40530,Central and Eastern Europe,2019,2019,16.35302,Female
40530,Central and Eastern Europe,2020,2020,16.38068,Female
40530,Central and Eastern Europe,2021,2021,16.57252,Female
40530,Central and Eastern Europe,2022,2022,16.57471,Female
MMR,Myanmar,2018,2018,11.96912,Female
KGZ,Kyrgyzstan,2017,2017,12.45423,Female
KGZ,Kyrgyzstan,2018,2018,12.33297,Female
KGZ,Kyrgyzstan,2019,2019,12.40438,Female
KGZ,Kyrgyzstan,2020,2020,12.5162,Female
KGZ,Kyrgyzstan,2021,2021,12.83446,Female
TON,Tonga,2020,2020,17.36093,Female
40642,Europe and Northern America,2017,2017,16.74317,Female
40642,Europe and Northern America,2018,2018,16.80888,Female
40642,Europe and Northern America,2019,2019,16.82976,Female
40642,Europe and Northern America,2020,2020,16.82016,Female
40642,Europe and Northern America,2021,2021,16.90605,Female
40642,Europe and Northern America,2022,2022,16.93663,Female
ZAF,South Africa,2017,2017,14.73662,Female
ZAF,South Africa,2018,2018,14.51227,Female
ZAF,South Africa,2019,2019,14.65775,Female
ZAF,South Africa,2020,2020,14.45914,Female
ZAF,South Africa,2021,2021,14.67354,Female
CAN,Canada,2017,2017,15.51483,Female
CAN,Canada,2018,2018,15.465,Female
CAN,Canada,2019,2019,15.45999,Female
CAN,Canada,2020,2020,15.44533,Female
CAN,Canada,2021,2021,15.41637,Female
MAC,"China, Macao Special Administrative Region",2017,2017,15.06247,Female
MAC,"China, Macao Special Administrative Region",2018,2018,14.51895,Female
MAC,"China, Macao Special Administrative Region",2019,2019,14.31397,Female
MAC,"China, Macao Special Administrative Region",2020,2020,14.25944,Female
MAC,"China, Macao Special Administrative Region",2021,2021,14.61013,Female
MAC,"China, Macao Special Administrative Region",2022,2022,15.37581,Female
MNE,Montenegro,2017,2017,15.22664,Female
MNE,Montenegro,2018,2018,15.20136,Female
MNE,Montenegro,2019,2019,15.30406,Female
MNE,Montenegro,2020,2020,15.50765,Female
MNE,Montenegro,2021,2021,15.60671,Female
MNE,Montenegro,2022,2022,15.55859,Female
CRI,Costa Rica,2017,2017,14.48884,Female
CRI,Costa Rica,2018,2018,14.71294,Female
CRI,Costa Rica,2019,2019,15.31027,Female
MDA,Republic of Moldova,2017,2017,14.56888,Female
MDA,Republic of Moldova,2018,2018,14.66278,Female
MDA,Republic of Moldova,2019,2019,14.69075,Female
MDA,Republic of Moldova,2020,2020,14.88332,Female
MDA,Republic of Moldova,2021,2021,15.16406,Female
MDA,Republic of Moldova,2022,2022,15.38689,Female
40651,Australia and New Zealand,2017,2017,20.84443,Female
40651,Australia and New Zealand,2018,2018,19.44404,Female
40651,Australia and New Zealand,2019,2019,20.44156,Female
40651,Australia and New Zealand,2020,2020,19.90826,Female
40651,Australia and New Zealand,2021,2021,20.02928,Female
40651,Australia and New Zealand,2022,2022,20.02766,Female
VGB,British Virgin Islands,2021,2021,17.68369,Female
VGB,British Virgin Islands,2022,2022,14.08058,Female
AFG,Afghanistan,2018,2018,7.98703,Female
SVN,Slovenia,2017,2017,18.23362,Female
SVN,Slovenia,2018,2018,18.21603,Female
SVN,Slovenia,2019,2019,18.16566,Female
SVN,Slovenia,2020,2020,18.13762,Female
SVN,Slovenia,2021,2021,18.34461,Female
SVN,Slovenia,2022,2022,18.3978,Female
GEO,Georgia,2017,2017,15.812,Female
GEO,Georgia,2018,2018,15.99838,Female
GEO,Georgia,2019,2019,16.39799,Female
GEO,Georgia,2020,2020,16.40266,Female
GEO,Georgia,2021,2021,16.78897,Female
GEO,Georgia,2022,2022,17.00892,Female
NER,Niger,2017,2017,7.38756,Female
THA,Thailand,2020,2020,15.13755,Female
KAZ,Kazakhstan,2017,2017,14.49908,Female
KAZ,Kazakhstan,2018,2018,14.61267,Female
KAZ,Kazakhstan,2019,2019,14.86221,Female
KAZ,Kazakhstan,2020,2020,15.02603,Female
SAU,Saudi Arabia,2017,2017,16.65029,Female
SAU,Saudi Arabia,2018,2018,16.69643,Female
SAU,Saudi Arabia,2019,2019,16.63847,Female
SAU,Saudi Arabia,2020,2020,16.32858,Female
SAU,Saudi Arabia,2021,2021,16.18786,Female
SAU,Saudi Arabia,2022,2022,17.86843,Female
40618,Central and Southern Asia,2017,2017,11.22342,Female
40618,Central and Southern Asia,2018,2018,11.06548,Female
40618,Central and Southern Asia,2019,2019,11.06901,Female
40618,Central and Southern Asia,2020,2020,11.38202,Female
40618,Central and Southern Asia,2021,2021,11.59651,Female
40618,Central and Southern Asia,2022,2022,11.93108,Female
MEX,Mexico,2017,2017,14.6329,Female
MEX,Mexico,2018,2018,14.64509,Female
MEX,Mexico,2019,2019,14.62077,Female
MEX,Mexico,2020,2020,14.46677,Female
MEX,Mexico,2021,2021,14.053,Female
MEX,Mexico,2022,2022,13.9166,Female
BHR,Bahrain,2017,2017,15.48459,Female
BHR,Bahrain,2018,2018,15.80702,Female
BHR,Bahrain,2019,2019,16.14518,Female
BHR,Bahrain,2022,2022,15.73036,Female
40344,Small Island Developing States,2017,2017,11.67044,Female
40344,Small Island Developing States,2018,2018,11.71019,Female
40344,Small Island Developing States,2019,2019,11.7559,Female
40344,Small Island Developing States,2020,2020,11.68967,Female
HUN,Hungary,2017,2017,15.59085,Female
HUN,Hungary,2018,2018,15.48612,Female
HUN,Hungary,2019,2019,15.3533,Female
HUN,Hungary,2020,2020,15.38947,Female
HUN,Hungary,2021,2021,15.42618,Female
40330,Landlocked Developing Countries,2017,2017,10.15666,Female
40330,Landlocked Developing Countries,2018,2018,10.22621,Female
40330,Landlocked Developing Countries,2019,2019,10.26706,Female
MDG,Madagascar,2018,2018,9.93807,Female
MDG,Madagascar,2019,2019,9.4649,Female
LSO,Lesotho,2017,2017,11.67891,Female
GHA,Ghana,2017,2017,11.26283,Female
GHA,Ghana,2018,2018,11.18617,Female
GHA,Ghana,2019,2019,11.45855,Female
GHA,Ghana,2020,2020,11.55268,Female
