"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","BDI","Burundi","2017","2017",10.48098,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","BDI","Burundi","2018","2018",10.14888,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","NZL","New Zealand","2017","2017",19.38512,"+","National Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","NZL","New Zealand","2018","2018",19.33179,"+","National Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","NZL","New Zealand","2019","2019",20.03784,"+","National Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","NZL","New Zealand","2020","2020",19.70184,"+","National Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","NZL","New Zealand","2021","2021",20.16286,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","40525","Arab States","2017","2017",11.72997,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","40525","Arab States","2018","2018",11.83803,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","40525","Arab States","2019","2019",11.96801,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","40525","Arab States","2020","2020",12.04418,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","40525","Arab States","2021","2021",12.10455,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","GTM","Guatemala","2019","2019",10.93928,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","HKG","China, Hong Kong Special Administrative Region","2017","2017",16.46075,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","HKG","China, Hong Kong Special Administrative Region","2018","2018",16.7917,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","HKG","China, Hong Kong Special Administrative Region","2019","2019",16.90179,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","HKG","China, Hong Kong Special Administrative Region","2020","2020",17.01898,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","HKG","China, Hong Kong Special Administrative Region","2021","2021",17.35923,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","HKG","China, Hong Kong Special Administrative Region","2022","2022",17.18582,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","MHL","Marshall Islands","2019","2019",16.09599,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","MHL","Marshall Islands","2022","2022",17.01634,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40612","Central Asia","2017","2017",12.44171,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40612","Central Asia","2018","2018",12.54775,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40612","Central Asia","2019","2019",12.72597,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40612","Central Asia","2020","2020",12.69859,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40612","Central Asia","2021","2021",12.79236,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40612","Central Asia","2022","2022",12.82523,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","ISR","Israel","2017","2017",15.43283,"+","National Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","ISR","Israel","2018","2018",15.36837,"+","National Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","ISR","Israel","2019","2019",15.35238,"+","National Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","ISR","Israel","2020","2020",15.37783,"+","National Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","ISR","Israel","2021","2021",15.58276,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","RUS","Russian Federation","2017","2017",14.63001,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","RUS","Russian Federation","2018","2018",15.30922,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","RUS","Russian Federation","2019","2019",15.32356,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","RUS","Russian Federation","2020","2020",13.42469,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","RUS","Russian Federation","2021","2021",13.3858,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","RUS","Russian Federation","2022","2022",13.44124,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","FIN","Finland","2017","2017",18.58182,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","FIN","Finland","2018","2018",18.6307,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","FIN","Finland","2019","2019",18.25285,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","FIN","Finland","2020","2020",18.17844,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","FIN","Finland","2021","2021",18.25875,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","FIN","Finland","2022","2022",18.40107,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","IND","India","2017","2017",12.17948,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","IND","India","2018","2018",11.78324,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","IND","India","2019","2019",11.68172,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","IND","India","2020","2020",12.17147,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","IND","India","2021","2021",12.47907,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","IND","India","2022","2022",12.98404,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","IND","India","2023","2023",12.94106,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","CUB","Cuba","2017","2017",13.63932,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","CUB","Cuba","2018","2018",13.79585,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","CUB","Cuba","2019","2019",13.86809,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","CUB","Cuba","2020","2020",13.79964,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","CUB","Cuba","2021","2021",13.71633,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40650","Oceania","2017","2017",16.7843,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40650","Oceania","2018","2018",16.20458,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40650","Oceania","2019","2019",16.71131,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40650","Oceania","2020","2020",16.51216,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40650","Oceania","2021","2021",16.66818,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","40650","Oceania","2022","2022",16.58956,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","ALB","Albania","2017","2017",15.11301,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","ALB","Albania","2018","2018",14.84559,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","ALB","Albania","2019","2019",14.90936,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","ALB","Albania","2020","2020",14.49291,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","ALB","Albania","2021","2021",14.28942,,
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","ALB","Albania","2022","2022",14.2922,,
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","NPL","Nepal","2017","2017",12.97947,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","NPL","Nepal","2019","2019",13.32362,"‡","UIS Estimation"
"SLE_1T8_F","School life expectancy, primary to tertiary, female (years)","NPL","Nepal","2020","2020",12.8238,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","UKR","Ukraine","2017","2017",13.45575,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","UKR","Ukraine","2018","2018",13.43034,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","UKR","Ukraine","2019","2019",13.48342,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","UKR","Ukraine","2020","2020",13.40917,"+","National Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","UKR","Ukraine","2021","2021",13.12754,"‡","UIS Estimation"
"SLE_1T8_M","School life expectancy, primary to tertiary, male (years)","OMN","Oman","2017","2017",13.43154,"+","National Estimation"
