"DEMO_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUS","Australia","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUS","Australia","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUS","Australia","2019","2019",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUS","Australia","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUS","Australia","2021","2021",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUT","Austria","2017","2017",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUT","Austria","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUT","Austria","2019","2019",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUT","Austria","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","AUT","Austria","2021","2021",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEL","Belgium","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEL","Belgium","2018","2018",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEL","Belgium","2019","2019",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEL","Belgium","2020","2020",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","BEL","Belgium","2021","2021",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAN","Canada","2017","2017",1.6,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAN","Canada","2018","2018",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAN","Canada","2019","2019",1.5,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAN","Canada","2020","2020",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CAN","Canada","2021","2021",1.4,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CZE","Czechia","2017","2017",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CZE","Czechia","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CZE","Czechia","2019","2019",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CZE","Czechia","2020","2020",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","CZE","Czechia","2021","2021",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2017","2017",1.8,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2018","2018",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2019","2019",1.7,,
"SP_DYN_TFRT_IN","Fertility rate, total (births per woman)","DNK","Denmark","2020","2020",1.7,,
